Tx Hash,Timestamp,From L2 Addr,To L1 Recipient,L1 Token,Amount,Is completed on L1 (zero = yes),Message Hash
0x552e066ea93dc96b7e9c55788845fe89e04344d90ae376d207bbd5143b7c717,2024-07-12 00:09:44 UTC,0xf62d0b2ff478928dd6af3bb7939b76864f571199568e8d71ee72414abeba64,0xa55bbbb0a051730a87dd6ad318a7c8585bf5bdf3,0xb91d822dfef943165f368d92c16bac9bd5ec6842,5082568921348335986524,0,0x0abef42b498926fe1eb334a9da7d16151d23eccd755bc9bf5982cab53253ee63
0x1266c3c63733935ff67ee6c27e48fb7cccd51f9c174796c2ed04dac40ba3a4e,2024-07-12 01:07:26 UTC,0x7c4eca7885c44be0b1de37bddb2960ce1a6dccb2e354d8ba7e4d1c846624ed9,0x51a55bdd44cabe39022e509e333b8fbc267c43e,0xb91d822dfef943165f368d92c16bac9bd5ec6842,2194934254704801882403,0,0x16c9959d4f93bb2a677eeb6a4164e0ae4c8b820546d3c0de7af66f7ec5bca1df
0x4d0eaef3c012641987c1721c1d42462a62e41c70be41fd88aade54ff0accf8,2024-07-12 03:11:47 UTC,0xcc98bee94a1f5c2f0c52cd93f1dab24c2633866977bbc7569e4c2b9f0d59fa,0x936556c315d0a272a319a7a699fc9ed3d8e5fd3f,0xb91d822dfef943165f368d92c16bac9bd5ec6842,226000000000000000000,1,0x45ee02cdf57c4a150f52579b3687005e7c9023f9ec9a92a0717c7ee7304afc9a
0x617561ee9a8980b8d32501858d4442290a68d5b722ae82429771074abe98915,2024-07-12 03:11:47 UTC,0x797808e05c58c2d734566dad212d3607c54f5fe35145b8c4b7d36096da140d6,0x9f5256d4b7a87e87505e78226e96a7fe3e7b1d22,0xb91d822dfef943165f368d92c16bac9bd5ec6842,5636101044943820323200,1,0x559e392c6006b5b823a119554c886a5a81cbb73c195658ee67516f9239ac72d0
0x3cbb8b031e7cbee8b68e19d31a0b7f0869402776146b54ada3891c734b114e3,2024-07-12 03:55:17 UTC,0x23ed5adf1164b2387dfd0c2729e005297a2f736ffca20a1e83f93ec66e2de8a,0x81e877dd467f65b79aff559a8fafed6e95f01ad8,0xb91d822dfef943165f368d92c16bac9bd5ec6842,915801168539325511432,1,0x4da15c85bb096b0050428604b448a8fbd556d2730587ab2a1517a2c2a22dad1f
0x16b2660bc4bf32ba12e8d77efcbb80a7d6b2ecebc1fa979b0954ef1459a565e,2024-07-12 04:26:00 UTC,0x6c66c416a4d1ef3de57e229975fb208c61ce585c8a3402fa3ddb3d28fa45302,0xd5c6d0be091af0fc308d3884b6c895b68874c6b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,95940900,1,0xc492d240b0995450a46581b20f78508b2185e35ccc985c65a1573e111b93fb2a
0x2ba66b2ba2a3e5e405eb31889b1197ebf31883e018aa88380e0ed9dda72b500,2024-07-12 04:39:13 UTC,0x6adc5bd39349ccd65f7b0c70ca0908d4d2ae330f4c88893744f74acc1cba007,0xf5096af5c7b002537a9b38dc530009d3ee1756b3,0xb91d822dfef943165f368d92c16bac9bd5ec6842,1883556696629214178704,1,0x7157a6100648af76881f724a62ac84cf7382376160b9fb1a939172bedf9b0d33
0x625c8342e7d0eeae4f9e6c71e02ec79378fbe5777d92c21114f9ed11fcf71f6,2024-07-12 06:40:49 UTC,0x24937cea8a747c13d7e09a4a9760c2b5cba800eadd771627e720c4221ea718d,0x68f1e4a9e0db91f7fcad0ede8aa0f154cb9389dd,0xb91d822dfef943165f368d92c16bac9bd5ec6842,1372592865168536728635,1,0x8d532efc0742ae09a67d1192b39cf11e1d4841e131e0cc87ed43adc20d337fac
0x756f4858ec033d902d879d34ac97efc4b2245edec65b209656305172d7f703c,2024-07-12 09:14:11 UTC,0x52d0f8c829dea099e8d7ab4092fccf4114ac24480e6b68c126c3667da39b1a4,0xae6944a19ec26a3435878c276f205f7e2b13db9e,0xb91d822dfef943165f368d92c16bac9bd5ec6842,159220456179775267338,1,0x6b5d486f2e4b7518a4a6b295b170c3d369e0ce849b6a7d92f2078ed81c890f21
0x6b68601abb018443e8c08a70887fa24a1105087573f04d5a702b3598e2bc4c1,2024-07-12 09:14:11 UTC,0x6faeb3e344071b4d257a853728a7eda38abb5b1b6ec955c1181e58ac9918d02,0xd31dcaf2d54120e1444397187792abf93f0befaa,0xb91d822dfef943165f368d92c16bac9bd5ec6842,1253448487640427521624,1,0xd2c95f194048548356d048d2d826acf76ad5aaeb56ff560737e1239da18c8c0a
0x6d1286738aa4fccdb267127b1cea1385706367a2aaad42a6653fbb04edbefe0,2024-07-12 09:26:40 UTC,0x1f80f98b635cfe3ac3dcb3d84ac2ba27af346ab5543d9a6ac225bedbe660e51,0xfa9d7ba1dfcd8f4c1a9722ac9cc80b152867f9f,0xb91d822dfef943165f368d92c16bac9bd5ec6842,521085144943819697751,1,0xa2f56e8f57f6599292a1785d54a02e42a7479f0197409de9abf06d3a253f9b29
0x366b7422e65b034e0751116b9bc26ae00fd636e10e5c4d9c168c1a7be9d334c,2024-07-12 09:26:40 UTC,0x5d20d8aed1705f824ee861f18be7edcea3f835e7aba64d756f977d1a11e6f64,0xfa9d7ba1dfcd8f4c1a9722ac9cc80b152867f9f,0xb91d822dfef943165f368d92c16bac9bd5ec6842,246647985393258434487,1,0xee1c124db431b5bbf42ae4fddbda6ac802e2b06413d38aff85e25a426d4678b1
0x6fb63fbfdc8522650b4bca0f8dee9b0fa77b6a12fae95f78fe4081dc6470f82,2024-07-12 09:26:40 UTC,0x2023dbf8772ad0eb373b0c722fa6b9e0ac718148e6b918f0cd18a756b114c48,0xfa9d7ba1dfcd8f4c1a9722ac9cc80b152867f9f,0xb91d822dfef943165f368d92c16bac9bd5ec6842,242679888764044883604,1,0xfbd2da6371847eba5535ee82c8fcaf9620acf4994267fe84c5025901ea81e761
0x77f47b621c0e1d9438770e0ff067aad48c88cecb8294cabc9f67a7882231a4f,2024-07-12 09:26:40 UTC,0x306290ba30daa6b40c3b189268714326b2e3bf0a31ed0786ba3fe379d314f42,0xfa9d7ba1dfcd8f4c1a9722ac9cc80b152867f9f,0xb91d822dfef943165f368d92c16bac9bd5ec6842,519930179775280974144,1,0x2e011a84dfeffbf18dc911763d5161144fa4567b80a042df062171cdf68f2fa1
0x2444f0b3a171b1b8ddd67a7ad1c5412e6de254c1eeb2e51f17426a33815be01,2024-07-12 09:26:40 UTC,0x7c4eca7885c44be0b1de37bddb2960ce1a6dccb2e354d8ba7e4d1c846624ed9,0x51a55bdd44cabe39022e509e333b8fbc267c43e,0xb91d822dfef943165f368d92c16bac9bd5ec6842,2638671131460775323593,1,0x6b9708b197819674dbe587aafe9786a47f1e231e9b72417ff9e503beafcf2884
0x2b683d5b91fb24dcb60071221926aab95702d0c298241ea9b31ff58e1175c00,2024-07-12 10:21:26 UTC,0x4afa3180644faa076b29879a01bfddfa30cd6851bf11b5819ace317da526272,0x8eada4e408e513b0981defcfd27f7aedb7d1682,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,100000000,1,0x9b05073b6ed9d2e2c5c8654e5a85679eef6ddfcc61cfaa5df8a7e28dfeea7222
0x3f130fe9f38b9be590c25f82a0ee18c731ca93d0fc355e5809bbe3f60fd073f,2024-07-12 11:02:25 UTC,0x27eaa0e8ac8af8c0bf276a0bd4004238aa45e726e4499778d23ac3b90b02882,0x151acfd1e756507fc35412308cfb175a140b1f93,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,7920000000,1,0x7bd2f6f36bfdd83a5b12124f7e94e025dc071aa6e96daaa4709338838aace22e
0x14e43c651b0d748b9f3cc9ff48fc4040511d11af14166c8443be9697d757911,2024-07-12 11:04:18 UTC,0x27eaa0e8ac8af8c0bf276a0bd4004238aa45e726e4499778d23ac3b90b02882,0x151acfd1e756507fc35412308cfb175a140b1f93,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,10000000000,1,0xec95614522331fba57aa133f7f866eb99c50218b1d84d0bd7d50ede0da8e3b80
0x47758cb56960bf1315b9d958cb0cf974732be2bafe51dd63ad3a4eb27c2b5b2,2024-07-12 11:08:26 UTC,0x27eaa0e8ac8af8c0bf276a0bd4004238aa45e726e4499778d23ac3b90b02882,0x151acfd1e756507fc35412308cfb175a140b1f93,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3861792000,1,0xf9330065498df37d9f522eae0df1800e4b0cb5d493a9cdf907bc3cdfc207ccc2
0x5568af512fac3999ec3fb44bc9b7e087dec3442246134d8c8e6915021e075f,2024-07-12 11:08:26 UTC,0x27eaa0e8ac8af8c0bf276a0bd4004238aa45e726e4499778d23ac3b90b02882,0x151acfd1e756507fc35412308cfb175a140b1f93,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,14850386180,1,0x2b79a128c28717faad583deaf4d22379e8608b2ab3c758272b9200a1619e1a11
0x727bd5438f66359d0651bfcb7539e29a08a01a1910b977f74a2fce30cfd5b74,2024-07-12 11:13:33 UTC,0x664307a550d627ee18c4e7e7633a42af251e5bb24f4f033caffbea55cbe3fbc,0x160ad31f8c231a0a5c4505b47b984056037ab5cc,0xb91d822dfef943165f368d92c16bac9bd5ec6842,132481584269662966512,1,0xfba720438dfa78df2e5c482487e723b16153a36738aae0f70b66a05277600511
0x7a5d3fe124ee6c376bc1e57c07558f518e401152a75aecdc3118712216c6095,2024-07-12 11:13:33 UTC,0x27eaa0e8ac8af8c0bf276a0bd4004238aa45e726e4499778d23ac3b90b02882,0x151acfd1e756507fc35412308cfb175a140b1f93,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,12000000000,1,0x36b392bcf5a8b8aa364f5da62bfa982e57a9e4b59a4d3341ee0d93e372316fab
0x2514bbaee3dbcd1cef016f8af7b5aefb81fa26d9fd916a0d818e1f8ae3bb8c6,2024-07-12 11:13:33 UTC,0x27eaa0e8ac8af8c0bf276a0bd4004238aa45e726e4499778d23ac3b90b02882,0x151acfd1e756507fc35412308cfb175a140b1f93,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,40000000000,1,0x682335492f2837652cc9eec66fd250f4027133a1292f0f34ac9ed3dca7bad38c
0x52793c5aef901806e5600ffdde65c6f663ed8f8e254dc6d378b2ec1db402100,2024-07-12 11:13:33 UTC,0x27eaa0e8ac8af8c0bf276a0bd4004238aa45e726e4499778d23ac3b90b02882,0x151acfd1e756507fc35412308cfb175a140b1f93,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4436685039,1,0x7dfe538d0f3f216fd907600bb7ec1931e03601732a34c459b39c5eac1c6b9061
0x3890b95d7eb971c509a2eb9f6b72609d4ada40b8fe18e96a89881d5dc4904b0,2024-07-12 11:13:33 UTC,0x43852cb3bbab0f41f7ea7fa24ab6039c642e9613cdc03e4253dfd34f7248b8c,0xe126ab35fb3b9ba58681d0bccd5ec0e18824539d,0xb91d822dfef943165f368d92c16bac9bd5ec6842,267125010112359102627,1,0x357db9f848bb59ba2f2b652eda221f36cb10a40c89357608ec567909c8393672
0x484fca149288de401dcb0e803853fd816f14332b1210460bb4484d4b8137689,2024-07-12 11:19:16 UTC,0x27eaa0e8ac8af8c0bf276a0bd4004238aa45e726e4499778d23ac3b90b02882,0x151acfd1e756507fc35412308cfb175a140b1f93,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,19000000000,1,0x7c038a8dd258d78655bafc45320973af3b8238f7f1b2fc6701527eeac75490eb
0x3c98ac3087a47b8ed1b67a60c1b59ca5b38ab018099ca391b14139e26eda0cb,2024-07-12 11:37:58 UTC,0x46ac44d95dddd9f1a6adfe7d9d8810cdbcad51977b8581e5236bb5beec3ea40,0xbe0eddf7463b30aa437ff584d61892183ae8ea69,0xb91d822dfef943165f368d92c16bac9bd5ec6842,87099999999999999990,1,0x6bdc4286068d1fb8f48383efdafd7e9e92e59f00bebc71afe1d8979b09a1b631
0x490eb16df53e3d9000c6b9ce550143de36d04604cf40a8d373abff74cc68079,2024-07-12 11:37:58 UTC,0x498ac802c4d85b8404f734b69b2113db04be226f307abd4b817b9d58fc46ab3,0xb41db247254bb1ba6dac61b3923c74a032f8f4d7,0xb91d822dfef943165f368d92c16bac9bd5ec6842,1425852585258525852584,1,0x5bec184319ead012004a01e6bc94c20316b81479a141bf01e3d99625b57253cf
0x441c97b60598561e94126adf117758e371c7dd62ab7c2d4ffddc21b741a9fe5,2024-07-12 11:44:05 UTC,0x7369fc4c9087694f97d40054a31ee756fa766a9178ea84f184dc8ebd639c26b,0xb41db247254bb1ba6dac61b3923c74a032f8f4d7,0xb91d822dfef943165f368d92c16bac9bd5ec6842,1535533553355335533552,1,0xdae88839c217bcc798c6f7be1b33e051671f9e0f52b94b4964652d94a53df8d3
0x7d03c119821e9974d293e33faa35ea0cecde4a51e444d510d803e5284be56a,2024-07-12 11:50:25 UTC,0x56a4c61a3a2f2a62cf6e7b95d93267e04f26fc4ccaddb8250d8fb9a46500cfa,0xb41db247254bb1ba6dac61b3923c74a032f8f4d7,0xb91d822dfef943165f368d92c16bac9bd5ec6842,1535533553355335533552,1,0x4db7dcef4309501e86f8b6424bfe93df68c23699675b008e910a9878020f37ee
0xee0b5a0ce0be3fda7633cc31352fb44e6a55ddd96d20b2e10ddcaeb37ad523,2024-07-12 12:21:45 UTC,0x3df27b49059718e50a10dd11efa5156385ee60342a9cd2dfb05425f018f062c,0x49f972469b56568f40d5828ee185f944f7a0908f,0xb91d822dfef943165f368d92c16bac9bd5ec6842,200329999999999999977,1,0x7560a23952403ac4e7a82744b74966c290574165f0860df9b6fb4e78120d26ed
